BirdID,GroupSize,HelpersF,PeriodYear
199,4,1,1998
199,4,1,1997
508,2,0,1999
508,2,0,1998
508,2,0,1996
508,2,0,1997
855,2,0,1996
855,2,0,2000
855,2,0,1999
855,2,0,1998
855,2,0,1997
454,4,1,1999
454,4,1,2001
454,4,1,1996
454,4,1,1998
454,4,1,2000
454,4,1,1997
454,4,1,1997
454,4,1,1998
454,4,1,1996
297,3,1,1997
297,3,1,1996
297,3,1,1999
297,3,1,1998
450,5,0,1998
450,5,0,1999
450,5,0,1996
450,5,0,1997
308,4,1,1997
308,4,1,2001
308,4,1,1999
308,4,1,1996
308,4,1,2000
308,4,1,1998
500,3,1,1998
500,3,1,1996
500,3,1,1997
912,2,0,1996
912,2,0,1997
502,3,0,1997
502,3,0,1998
502,3,0,1996
502,3,0,1999
502,3,0,2000
924,2,0,2003
924,2,0,2005
924,2,0,1998
924,2,0,1996
924,2,0,2001
924,2,0,1999
924,2,0,2000
924,2,0,2004
924,2,0,1997
924,2,0,2002
450,5,0,1999
450,5,0,1997
450,5,0,2000
450,5,0,1996
450,5,0,1998
938,3,0,1998
938,3,0,2000
938,3,0,1997
938,3,0,1996
938,3,0,2001
938,3,0,1999
558,2,0,1996
558,2,0,1997
915,2,0,2005
915,2,0,2004
915,2,0,2002
915,2,0,2008
915,2,0,2003
915,2,0,2006
915,2,0,1998
915,2,0,2007
915,2,0,2001
915,2,0,1997
915,2,0,1999
915,2,0,2000
542,3,0,2002
542,3,0,2010
542,3,0,2003
542,3,0,1998
542,3,0,2006
542,3,0,1997
542,3,0,2004
542,3,0,1996
542,3,0,2008
542,3,0,2005
542,3,0,2009
542,3,0,2001
542,3,0,2007
542,3,0,1999
542,3,0,2000
543,3,0,2003
543,3,0,2002
543,3,0,2000
543,3,0,1998
543,3,0,2004
543,3,0,2007
543,3,0,1999
543,3,0,1997
543,3,0,2009
543,3,0,2005
543,3,0,1996
543,3,0,2001
543,3,0,2008
543,3,0,2006
543,3,0,2010
677,3,0,2001
677,3,0,2000
677,3,0,1999
677,3,0,1998
677,3,0,1997
677,3,0,1996
531,3,0,1996
531,3,0,1997
641,3,1,1996
641,3,1,1997
641,3,1,1998
774,2,0,1997
774,2,0,1996
774,2,0,1998
297,3,1,1998
297,3,1,2000
297,3,1,1999
297,3,1,1997
938,3,0,1996
938,3,0,1997
938,3,0,1998
1182,2,0,1998
1182,2,0,1997
774,2,0,1997
774,2,0,1996
862,3,0,2001
862,3,0,1999
862,3,0,2000
862,3,0,1998
862,3,0,1997
862,3,0,1996
604,2,0,1996
604,2,0,1998
604,2,0,1999
604,2,0,2002
604,2,0,1997
604,2,0,2001
604,2,0,2000
596,3,0,2003
596,3,0,1996
596,3,0,2010
596,3,0,2002
596,3,0,2000
596,3,0,2004
596,3,0,1997
596,3,0,2001
596,3,0,2006
596,3,0,2009
596,3,0,2007
596,3,0,2005
596,3,0,1999
596,3,0,1998
596,3,0,2008
942,2,0,1996
942,2,0,2000
942,2,0,2001
942,2,0,2003
942,2,0,1997
942,2,0,2002
942,2,0,2004
942,2,0,1999
942,2,0,1998
522,3,0,2007
522,3,0,2006
522,3,0,2005
522,3,0,1999
522,3,0,1996
522,3,0,1998
522,3,0,2008
522,3,0,2004
522,3,0,2001
522,3,0,2002
522,3,0,2000
522,3,0,2009
522,3,0,1997
522,3,0,2003
675,2,0,1998
675,2,0,1996
675,2,0,1997
862,3,0,2001
862,3,0,1996
862,3,0,2005
862,3,0,1999
862,3,0,1998
862,3,0,2003
862,3,0,2000
862,3,0,2008
862,3,0,1997
862,3,0,2006
862,3,0,2002
862,3,0,2007
862,3,0,2004
878,3,0,2000
878,3,0,2003
878,3,0,2001
878,3,0,1999
878,3,0,2006
878,3,0,2004
878,3,0,2002
878,3,0,1998
878,3,0,2005
878,3,0,1996
878,3,0,1997
543,3,0,1998
543,3,0,1997
543,3,0,1996
469,4,0,1996
469,4,0,1998
469,4,0,1997
466,4,0,1998
466,4,0,1997
466,4,0,1996
466,4,0,1999
455,3,1,2003
455,3,1,1997
455,3,1,1998
455,3,1,2005
455,3,1,2002
455,3,1,2000
455,3,1,2001
455,3,1,1999
455,3,1,2004
503,2,0,2004
503,2,0,2001
503,2,0,2000
503,2,0,2003
503,2,0,1997
503,2,0,1999
503,2,0,2002
503,2,0,1998
503,2,0,2006
503,2,0,2005
1043,3,1,1999
1043,3,1,1998
1043,3,1,1997
308,3,1,1998
308,3,1,1997
458,3,1,1996
458,3,1,1997
458,3,1,1998
1246,2,0,2004
1246,2,0,2000
1246,2,0,1998
1246,2,0,1997
1246,2,0,2002
1246,2,0,2001
1246,2,0,2003
1246,2,0,1999
1043,3,1,1997
1043,3,1,1998
838,2,0,1998
838,2,0,1997
635,2,0,1997
635,2,0,1996
635,2,0,1998
880,2,0,1998
880,2,0,1999
880,2,0,1997
500,2,0,1998
500,2,0,1997
469,4,0,1998
469,4,0,1997
915,2,0,1997
915,2,0,1998
168,3,1,2001
168,3,1,1997
168,3,1,1999
168,3,1,1998
168,3,1,2000
774,2,0,1998
774,2,0,1996
774,2,0,1997
862,3,0,1997
862,3,0,1999
862,3,0,2000
862,3,0,1998
862,3,0,1996
774,2,0,1997
774,2,0,1998
912,2,0,1998
912,2,0,1997
474,3,1,1997
474,3,1,1998
474,3,1,1999
931,2,0,2001
931,2,0,2002
931,2,0,2003
931,2,0,1999
931,2,0,1998
931,2,0,2000
1271,3,0,1998
1271,3,0,1997
855,3,1,2004
855,3,1,2000
855,3,1,2003
855,3,1,2005
855,3,1,2001
855,3,1,1997
855,3,1,2002
855,3,1,1999
855,3,1,1998
855,3,1,2001
855,3,1,1999
855,3,1,1998
855,3,1,2006
855,3,1,2003
855,3,1,1997
855,3,1,2004
855,3,1,2005
855,3,1,2000
855,3,1,2002
608,4,0,1999
608,4,0,1998
608,4,0,1997
608,4,0,2004
608,4,0,2001
608,4,0,2003
608,4,0,2005
608,4,0,2000
608,4,0,2002
1182,2,0,2007
1182,2,0,2006
1182,2,0,2004
1182,2,0,2003
1182,2,0,2000
1182,2,0,2005
1182,2,0,2002
1182,2,0,1998
1182,2,0,1997
1182,2,0,2001
1182,2,0,1999
949,2,0,1997
949,2,0,1998
171,2,0,1998
171,2,0,1997
171,2,0,1999
522,2,0,1999
522,2,0,1997
522,2,0,2000
522,2,0,1998
1218,3,0,1998
1218,3,0,1997
825,2,0,1997
825,2,0,2000
825,2,0,1998
825,2,0,1999
825,2,0,2001
441,2,0,2002
441,2,0,1997
441,2,0,1999
441,2,0,2001
441,2,0,2005
441,2,0,2004
441,2,0,2000
441,2,0,2003
441,2,0,1998
862,3,0,1998
862,3,0,2000
862,3,0,1997
862,3,0,1999
528,3,1,1998
528,3,1,1997
1206,2,0,1998
1206,2,0,1997
670,2,0,1997
670,2,0,1998
1299,2,0,1998
1299,2,0,1997
530,5,1,1998
530,5,1,1997
641,4,0,1997
641,4,0,1998
677,5,1,2000
677,5,1,1998
677,5,1,1997
677,5,1,1999
1177,2,0,2005
1177,2,0,2003
1177,2,0,2006
1177,2,0,1998
1177,2,0,1997
1177,2,0,1999
1177,2,0,2002
1177,2,0,2001
1177,2,0,2000
1177,2,0,2004
1177,2,0,2007
1177,2,0,2008
1177,2,0,2009
561,2,0,1999
561,2,0,1997
561,2,0,1998
455,3,1,2000
455,3,1,1999
455,3,1,1998
455,3,1,1997
930,4,1,2003
930,4,1,1999
930,4,1,1998
930,4,1,2000
930,4,1,2002
930,4,1,2001
168,3,1,2002
168,3,1,2003
168,3,1,2000
168,3,1,2001
168,3,1,1998
168,3,1,1997
168,3,1,1999
832,2,0,1997
832,2,0,1998
832,2,0,2009
832,2,0,2005
832,2,0,2001
832,2,0,2008
832,2,0,2006
832,2,0,2003
832,2,0,1999
832,2,0,2000
832,2,0,2002
832,2,0,2007
832,2,0,2004
853,3,0,1999
853,3,0,2000
853,3,0,1997
853,3,0,1998
853,3,0,2001
630,3,0,2002
630,3,0,2000
630,3,0,1997
630,3,0,2001
630,3,0,1999
630,3,0,1998
628,3,0,1998
628,3,0,2009
628,3,0,2010
628,3,0,2000
628,3,0,2008
628,3,0,2001
628,3,0,2004
628,3,0,1999
628,3,0,2002
628,3,0,2007
628,3,0,2005
628,3,0,2003
628,3,0,2006
199,4,1,2003
199,4,1,2004
199,4,1,1999
199,4,1,2000
199,4,1,2002
199,4,1,2001
199,4,1,1998
1173,2,0,1998
1173,2,0,1999
1158,5,1,1999
1158,5,1,1998
1158,5,1,2001
1158,5,1,2000
912,2,0,2001
912,2,0,1998
912,2,0,2000
912,2,0,1999
459,4,0,2000
459,4,0,2003
459,4,0,2005
459,4,0,2001
459,4,0,2004
459,4,0,2002
459,4,0,1998
459,4,0,1999
459,4,0,1997
308,3,1,2001
308,3,1,1997
308,3,1,1999
308,3,1,2000
308,3,1,2003
308,3,1,1998
308,3,1,2004
308,3,1,2002
454,4,1,1997
454,4,1,1999
454,4,1,2000
454,4,1,1998
561,2,0,2000
561,2,0,1999
561,2,0,1997
561,2,0,2003
561,2,0,2001
561,2,0,2002
561,2,0,1998
679,2,0,1998
679,2,0,1999
679,2,0,2001
679,2,0,2002
679,2,0,2000
679,2,0,1997
1246,3,1,2006
1246,3,1,2004
1246,3,1,2008
1246,3,1,2005
1246,3,1,2003
1246,3,1,1998
1246,3,1,2002
1246,3,1,2009
1246,3,1,1999
1246,3,1,2001
1246,3,1,2007
1246,3,1,2000
604,3,1,1998
604,3,1,2000
604,3,1,1999
455,3,1,1997
455,3,1,1999
455,3,1,2001
455,3,1,2000
455,3,1,1998
308,4,1,1998
308,4,1,2002
308,4,1,1999
308,4,1,2000
308,4,1,2001
1386,3,1,1999
1386,3,1,2005
1386,3,1,2004
1386,3,1,1998
1386,3,1,2001
1386,3,1,2002
1386,3,1,2003
1386,3,1,2000
596,2,0,1999
596,2,0,1998
596,2,0,1997
832,2,0,2003
832,2,0,2006
832,2,0,2002
832,2,0,2005
832,2,0,2001
832,2,0,2007
832,2,0,2000
832,2,0,2004
832,2,0,1999
832,2,0,2009
832,2,0,1998
832,2,0,2010
832,2,0,2008
601,2,0,2005
601,2,0,2004
601,2,0,1998
601,2,0,2008
601,2,0,1999
601,2,0,2009
601,2,0,2006
601,2,0,2002
601,2,0,2001
601,2,0,2007
601,2,0,1997
601,2,0,2000
601,2,0,2010
601,2,0,2003
1186,2,0,1998
1186,2,0,1999
531,2,0,2006
531,2,0,2003
531,2,0,2000
531,2,0,2005
531,2,0,2002
531,2,0,1997
531,2,0,2004
531,2,0,1998
531,2,0,2001
531,2,0,1999
454,4,1,1997
454,4,1,1998
454,4,1,2001
454,4,1,2000
454,4,1,1999
859,2,0,1999
859,2,0,1998
1017,2,0,1998
1017,2,0,1999
502,3,0,1998
502,3,0,1999
457,2,0,2007
457,2,0,2009
457,2,0,2006
457,2,0,2002
457,2,0,2008
457,2,0,2005
457,2,0,2010
457,2,0,1999
457,2,0,1998
457,2,0,2004
457,2,0,2003
457,2,0,2001
457,2,0,2000
441,3,0,2001
441,3,0,2000
441,3,0,2010
441,3,0,1999
441,3,0,2012
441,3,0,2008
441,3,0,2013
441,3,0,2005
441,3,0,2011
441,3,0,1998
441,3,0,2009
441,3,0,2006
441,3,0,2004
441,3,0,2007
441,3,0,2003
441,3,0,2002
1271,4,1,2000
1271,4,1,1999
1271,4,1,1998
912,3,0,2000
912,3,0,1999
912,3,0,2002
912,3,0,2005
912,3,0,2001
912,3,0,2004
912,3,0,2000
912,3,0,2008
912,3,0,2006
912,3,0,2003
912,3,0,2007
912,3,0,1999
1345,2,0,2000
1345,2,0,1999
1403,2,0,1999
1403,2,0,2002
1403,2,0,2001
1403,2,0,2000
524,3,0,2000
524,3,0,2001
524,3,0,1999
915,2,0,2001
915,2,0,1999
915,2,0,2003
915,2,0,2000
915,2,0,2005
915,2,0,2002
915,2,0,2006
915,2,0,2004
1172,2,0,2002
1172,2,0,2000
1172,2,0,2001
1172,2,0,1999
1172,2,0,1998
561,2,0,2000
561,2,0,2001
561,2,0,2002
561,2,0,1999
504,3,0,1999
504,3,0,1998
524,4,1,2000
524,4,1,2001
524,4,1,1999
524,4,1,2002
1017,2,0,2000
1017,2,0,2008
1017,2,0,1999
1017,2,0,2005
1017,2,0,1998
1017,2,0,2003
1017,2,0,2002
1017,2,0,2004
1017,2,0,2001
1017,2,0,2007
1017,2,0,2006
1155,2,0,2007
1155,2,0,2004
1155,2,0,2008
1155,2,0,2015
1155,2,0,2005
1155,2,0,2006
1155,2,0,2009
1155,2,0,2001
1155,2,0,2000
1155,2,0,2014
1155,2,0,1999
1155,2,0,2003
1155,2,0,2002
1155,2,0,2013
1155,2,0,2012
1155,2,0,2010
1155,2,0,2011
1177,2,0,1999
1177,2,0,2001
1177,2,0,2000
915,2,0,2000
915,2,0,2001
915,2,0,1999
915,2,0,2003
915,2,0,2002
823,3,0,2002
823,3,0,2001
823,3,0,2003
823,3,0,2004
823,3,0,1998
823,3,0,2005
823,3,0,2000
823,3,0,1999
823,3,0,2006
1042,3,1,2008
1042,3,1,2012
1042,3,1,2014
1042,3,1,2015
1042,3,1,2011
1042,3,1,2006
1042,3,1,2013
1042,3,1,2003
1042,3,1,2009
1042,3,1,2007
1042,3,1,2004
1042,3,1,2002
1042,3,1,1999
1042,3,1,2010
1042,3,1,2005
1042,3,1,2001
1042,3,1,2000
542,5,0,2001
542,5,0,2000
542,5,0,2003
542,5,0,2002
542,5,0,2004
542,5,0,1999
835,2,0,2000
835,2,0,2002
835,2,0,2001
835,2,0,1999
845,2,0,2000
845,2,0,1999
845,2,0,2001
845,2,0,2012
845,2,0,2010
845,2,0,2004
845,2,0,2009
845,2,0,2007
845,2,0,2002
845,2,0,2013
845,2,0,2011
845,2,0,2015
845,2,0,2008
845,2,0,2003
845,2,0,2006
845,2,0,2014
845,2,0,2005
1160,2,0,2000
1160,2,0,1999
666,2,0,2000
666,2,0,1999
670,2,0,2005
670,2,0,2006
670,2,0,2002
670,2,0,2009
670,2,0,2003
670,2,0,2001
670,2,0,2010
670,2,0,2004
670,2,0,2000
670,2,0,2008
670,2,0,2007
670,2,0,2012
670,2,0,1999
670,2,0,2013
670,2,0,2011
826,3,0,2004
826,3,0,2003
826,3,0,2006
826,3,0,2005
826,3,0,2001
826,3,0,2000
826,3,0,2008
826,3,0,2007
826,3,0,2009
826,3,0,2002
826,3,0,1999
1517,2,0,2000
1517,2,0,2001
1517,2,0,1999
1186,2,0,1999
1186,2,0,2000
1186,2,0,2002
1186,2,0,2004
1186,2,0,2003
1186,2,0,2001
1186,2,0,2008
1186,2,0,2006
1186,2,0,2007
1186,2,0,2005
1404,4,0,2007
1404,4,0,2003
1404,4,0,2004
1404,4,0,2005
1404,4,0,2006
1404,4,0,2008
1404,4,0,2009
1404,4,0,2002
1404,4,0,2001
1404,4,0,2000
1404,4,0,1999
1404,4,0,2010
1200,2,0,2001
1200,2,0,2006
1200,2,0,2007
1200,2,0,2005
1200,2,0,2004
1200,2,0,2000
1200,2,0,2002
1200,2,0,1999
1200,2,0,2003
925,2,0,1999
925,2,0,2010
925,2,0,2000
925,2,0,2006
925,2,0,2009
925,2,0,2002
925,2,0,2004
925,2,0,2003
925,2,0,2007
925,2,0,2008
925,2,0,2005
925,2,0,2001
1247,2,0,2009
1247,2,0,2004
1247,2,0,2002
1247,2,0,2008
1247,2,0,2006
1247,2,0,2003
1247,2,0,2001
1247,2,0,2007
1247,2,0,2000
1247,2,0,1999
1247,2,0,2005
840,3,0,2000
840,3,0,2002
840,3,0,2001
840,3,0,1999
951,2,0,2006
951,2,0,2003
951,2,0,2000
951,2,0,2005
951,2,0,2007
951,2,0,1999
951,2,0,2004
951,2,0,2002
951,2,0,2001
951,2,0,2008
1244,2,0,2000
1244,2,0,1999
1244,2,0,2001
1059,2,0,1999
1059,2,0,2000
444,2,0,2000
444,2,0,1999
444,2,0,2001
639,2,0,1999
639,2,0,1998
639,2,0,2000
639,2,0,2002
639,2,0,2001
826,4,1,2000
826,4,1,1999
826,4,1,2001
949,2,0,2013
949,2,0,2010
949,2,0,2012
949,2,0,2011
949,2,0,2000
949,2,0,2005
949,2,0,2009
949,2,0,1999
949,2,0,2006
949,2,0,2008
949,2,0,2007
949,2,0,2001
949,2,0,2004
949,2,0,2002
949,2,0,2003
938,3,1,1999
938,3,1,2002
938,3,1,2003
938,3,1,2001
938,3,1,2007
938,3,1,2000
938,3,1,2006
938,3,1,2005
938,3,1,2004
1403,3,1,2001
1403,3,1,1999
1403,3,1,2000
949,2,0,2000
949,2,0,1999
949,2,0,2002
949,2,0,2001
596,2,0,2008
596,2,0,2005
596,2,0,2003
596,2,0,2004
596,2,0,2007
596,2,0,2006
596,2,0,2009
596,2,0,2001
596,2,0,2000
596,2,0,2010
596,2,0,2002
596,2,0,1999
677,3,1,2009
677,3,1,2008
677,3,1,2003
677,3,1,2002
677,3,1,2010
677,3,1,2004
677,3,1,2012
677,3,1,2005
677,3,1,2011
677,3,1,2006
677,3,1,2001
677,3,1,2014
677,3,1,2007
677,3,1,2013
677,3,1,1999
677,3,1,2015
677,3,1,2000
853,4,0,1998
853,4,0,2001
853,4,0,2000
853,4,0,1999
168,2,0,1999
168,2,0,2000
1017,2,0,2003
1017,2,0,2000
1017,2,0,2002
1017,2,0,2008
1017,2,0,2004
1017,2,0,2001
1017,2,0,2006
1017,2,0,2007
1017,2,0,2005
1017,2,0,1999
459,2,0,2000
459,2,0,2001
459,2,0,2007
459,2,0,2003
459,2,0,2006
459,2,0,2008
459,2,0,2004
459,2,0,1999
459,2,0,2005
459,2,0,2002
459,2,0,2007
459,2,0,2004
459,2,0,2008
459,2,0,2000
459,2,0,2006
459,2,0,2002
459,2,0,2001
459,2,0,2005
459,2,0,1999
459,2,0,2003
869,3,0,2003
869,3,0,2000
869,3,0,1999
869,3,0,2001
869,3,0,2002
459,2,0,2004
459,2,0,2001
459,2,0,1999
459,2,0,2005
459,2,0,2002
459,2,0,2000
459,2,0,2003
1022,2,0,2002
1022,2,0,2001
1022,2,0,2000
1022,2,0,2003
1022,2,0,2008
1022,2,0,2009
1022,2,0,2012
1022,2,0,2010
1022,2,0,2004
1022,2,0,1999
1022,2,0,2007
1022,2,0,2011
1022,2,0,2006
1022,2,0,2005
199,5,0,2005
199,5,0,2000
199,5,0,2001
199,5,0,2008
199,5,0,2007
199,5,0,2004
199,5,0,2009
199,5,0,2003
199,5,0,2006
199,5,0,1999
199,5,0,2002
1432,3,1,1999
1432,3,1,2000
1024,3,0,1999
1024,3,0,2000
1042,3,1,1999
1042,3,1,2000
1042,3,1,2001
1042,3,1,2002
869,3,0,1999
869,3,0,2003
869,3,0,2001
869,3,0,2002
869,3,0,2000
1369,2,0,1999
1369,2,0,2002
1369,2,0,2000
1369,2,0,2001
604,3,1,2000
604,3,1,1999
604,3,1,2008
604,3,1,2006
604,3,1,2010
604,3,1,2009
604,3,1,2005
604,3,1,2007
604,3,1,2004
604,3,1,2002
604,3,1,2003
604,3,1,2001
199,6,1,1999
199,6,1,2001
199,6,1,2000
604,3,1,2002
604,3,1,1999
604,3,1,2003
604,3,1,2000
604,3,1,2001
466,2,0,2006
466,2,0,2003
466,2,0,2004
466,2,0,2005
466,2,0,2008
466,2,0,2000
466,2,0,2007
466,2,0,2001
466,2,0,1999
466,2,0,2002
466,2,0,2009
458,3,0,2009
458,3,0,2008
458,3,0,2006
458,3,0,2005
458,3,0,2003
458,3,0,2001
458,3,0,2007
458,3,0,2000
458,3,0,1999
458,3,0,2004
458,3,0,2002
823,2,0,1999
823,2,0,2001
823,2,0,2002
823,2,0,2000
450,2,0,2000
450,2,0,2001
450,2,0,1999
450,2,0,2006
450,2,0,2003
450,2,0,2002
450,2,0,2004
450,2,0,2005
450,2,0,2007
450,2,0,2008
450,2,0,2009
297,5,1,2001
297,5,1,1999
297,5,1,2000
1160,2,0,2006
1160,2,0,2007
1160,2,0,2008
1160,2,0,1999
1160,2,0,2005
1160,2,0,2004
1160,2,0,2001
1160,2,0,2000
1160,2,0,2002
1160,2,0,2003
627,3,0,2001
627,3,0,2004
627,3,0,2002
627,3,0,2003
627,3,0,1999
627,3,0,2000
1369,2,0,2001
1369,2,0,2000
1369,2,0,2002
1369,2,0,2004
1369,2,0,2003
1186,2,0,2001
1186,2,0,2000
859,2,0,2005
859,2,0,2003
859,2,0,2000
859,2,0,2001
859,2,0,2004
859,2,0,2007
859,2,0,2009
859,2,0,2006
859,2,0,2010
859,2,0,2002
859,2,0,2008
308,4,0,2007
308,4,0,2009
308,4,0,2013
308,4,0,2006
308,4,0,2010
308,4,0,2008
308,4,0,2002
308,4,0,2003
308,4,0,2005
308,4,0,2012
308,4,0,2000
308,4,0,2004
308,4,0,2011
308,4,0,2001
862,2,0,2002
862,2,0,2001
862,2,0,2000
1170,2,0,2006
1170,2,0,2005
1170,2,0,2007
1170,2,0,2000
1170,2,0,2003
1170,2,0,2002
1170,2,0,2001
1170,2,0,2004
1170,2,0,2008
1403,3,0,2004
1403,3,0,2005
1403,3,0,2000
1403,3,0,2007
1403,3,0,2008
1403,3,0,2006
1403,3,0,2001
1403,3,0,2002
1403,3,0,2003
1403,3,0,2014
1403,3,0,2009
1403,3,0,2013
1403,3,0,2015
1403,3,0,2012
1403,3,0,2011
1403,3,0,2010
1161,2,0,2008
1161,2,0,2007
1161,2,0,2004
1161,2,0,2005
1161,2,0,2006
1161,2,0,2003
1161,2,0,2009
1161,2,0,2002
1161,2,0,2001
1161,2,0,2000
951,3,0,2000
951,3,0,2001
951,3,0,2002
848,4,1,2000
848,4,1,1999
595,2,0,2002
595,2,0,2001
595,2,0,2000
503,2,0,2000
503,2,0,2001
1382,2,0,2002
1382,2,0,2000
1382,2,0,2001
1382,2,0,2004
1382,2,0,2003
1382,2,0,2003
1382,2,0,2002
1382,2,0,2008
1382,2,0,2000
1382,2,0,2005
1382,2,0,2006
1382,2,0,2007
1382,2,0,2004
1382,2,0,2001
826,2,0,2005
826,2,0,2003
826,2,0,2004
826,2,0,2002
826,2,0,2001
826,2,0,2000
1059,3,0,2004
1059,3,0,2000
1059,3,0,2002
1059,3,0,2005
1059,3,0,2001
1059,3,0,2003
853,2,0,2000
853,2,0,2001
1017,3,0,2001
1017,3,0,2003
1017,3,0,2000
1017,3,0,2004
1017,3,0,2002
1017,3,0,2008
1017,3,0,2007
1017,3,0,2006
1017,3,0,2005
1415,3,0,2000
1415,3,0,2001
1271,3,0,2005
1271,3,0,2001
1271,3,0,2002
1271,3,0,2006
1271,3,0,2004
1271,3,0,2000
1271,3,0,2003
1271,3,0,2007
774,2,0,2002
774,2,0,2004
774,2,0,2003
774,2,0,2001
774,2,0,2000
1195,2,0,2002
1195,2,0,2000
1195,2,0,2007
1195,2,0,2006
1195,2,0,2001
1195,2,0,2003
1195,2,0,2005
1195,2,0,2004
1501,2,0,2000
1501,2,0,2001
524,3,0,2001
524,3,0,2002
524,3,0,2000
925,2,0,2000
925,2,0,2001
1247,2,0,2000
1247,2,0,2001
1247,2,0,2008
1247,2,0,2003
1247,2,0,2002
1247,2,0,2013
1247,2,0,2006
1247,2,0,2005
1247,2,0,2004
1247,2,0,2007
1247,2,0,2009
1247,2,0,2011
1247,2,0,2012
1247,2,0,2010
1222,2,0,2009
1222,2,0,2000
1222,2,0,2001
1222,2,0,2002
